cutoff_days,remaining_rows,overall_fraud_rate_pct,segment_1_observed_rate_pct,segment_1_relative_rate,segment_2_observed_rate_pct,segment_2_relative_rate,segment_3_observed_rate_pct,segment_3_relative_rate,segment_4_observed_rate_pct,segment_4_relative_rate
0,1771026,0.9380438231849787,0.49198583948473273,0.524480655727014,0.8595528234984438,0.9163248051460632,1.6296956760602703,1.7373342649673846,1.9432968373387025,2.0716482421264146
1,1771025,0.9380443528465154,0.49198583948473273,0.5244803595819231,0.8595544871608766,0.9163260612918145,1.6296956760602703,1.7373332839912359,1.9432968373387025,2.0716470723817344
2,1753014,0.946198946500142,0.49719594237116566,0.5254665989750085,0.8674707275062709,0.9167952793806462,1.642689938865026,1.7360936037195,1.9551034695073866,2.066271027608984
3,1729558,0.9568340581813389,0.5036930161722175,0.5264162702669576,0.8769617684305654,0.9165244076882177,1.662334550012904,1.7373279470972374,1.9705420803056664,2.059439736134695
4,1707830,0.9670166234344169,0.5098017641341622,0.5271902796495587,0.8869428990339231,0.9171950900739356,1.678179469120658,1.735419462760117,1.985722102306264,2.0534518788868947
5,1687466,0.9753085395498339,0.5153797873992031,0.5284274324482827,0.8952103601991345,0.9178740100156718,1.689663953521273,1.7324404380804037,1.9946536848282008,2.0451514612482105
6,1669619,0.982679281920007,0.5206774310025222,0.5298548983196196,0.9017063976551933,0.9175998866012471,1.7021215814732993,1.7321231990844568,2.001981812920368,2.037268770955258
7,1653322,0.9891600063387531,0.5249375881906003,0.5306902673244831,0.9089456106375073,0.9189065518346734,1.710768285246484,1.7295162302190825,2.007991301503673,2.029996450155715
8,1637620,0.9954690343303086,0.5292303811144276,0.5316392201696778,0.915816534982683,0.9199849552314693,1.7203738933019657,1.728204327781355,2.0129502622584083,2.0221123840508004
9,1618977,1.0018672285029373,0.5351640554160019,0.5341666442325724,0.9208516659852605,0.9191354301120956,1.7291122651566275,1.7258896348375348,2.016979884191251,2.013220741040875
10,1598755,1.0102235802233612,0.5411037502728047,0.5356277173347768,0.9283111300815275,0.9189165133883306,1.7398098968378781,1.7222028181654647,2.0271590243104614,2.006643939020167
11,1576814,1.0200949509580712,0.5480047592897676,0.537209559536671,0.9387987549341819,0.920305265752432,1.7529537270300457,1.7184221188269533,2.0355229512787436,1.995424984083084
12,1557140,1.029900972295362,0.5544552158518514,0.5383577943577676,0.9477244271735279,0.9202092751318746,1.766874027205297,1.7155766182717815,2.0490739539108995,1.9895834735878393
13,1539384,1.0351543214688472,0.5582180470441451,0.5392607029375616,0.9531825073976848,0.9208119868013039,1.7773927130487386,1.7170316311162972,2.0493546683121338,1.9797576320834678
14,1522840,1.0421318063617977,0.5634580531010231,0.5406782996750864,0.9599513606629362,0.9211419849224611,1.7857050375733472,1.713511694655448,2.058319848657115,1.9751051029168247
15,1507563,1.0459264388950908,0.5654147874484214,0.5405875274036686,0.9656601067644013,0.9232581478526517,1.7862932323749963,1.7078574228050145,2.065207044264636,1.974524180157742
16,1489029,1.051221970827969,0.5695686315012463,0.5418157604265439,0.9705448511109063,0.9232539635244501,1.7966257717396479,1.7090831637818413,2.0680193515777314,1.9672527867248693
17,1466087,1.0575088654356801,0.5746231252650653,0.5433742865392698,0.9746775859282972,0.9216732055733098,1.808835548672947,1.7104684488179018,2.0774601437414804,1.9644848489148063
18,1443506,1.0628289733468375,0.580886710629051,0.5465476809498754,0.9775698977941036,0.9197810017502122,1.8149799910586746,1.7076877245294897,2.079309900862624,1.9563918118593422
19,1424055,1.0662509523859682,0.5854713425929606,0.5490933830191113,0.9809926642583957,0.9200391915835681,1.8114241217630458,1.6988722192553176,2.083197512599985,1.9537591107781689
20,1405927,1.0700413321602047,0.5870415651862753,0.5486157847764187,0.9888754563993601,0.9241469714099861,1.8065619967793882,1.6883104815514856,2.08999873241222,1.953194395017359
21,1389385,1.0754398528845497,0.5918250795463816,0.5503097899515121,0.9965060470360745,0.9266032352839086,1.8066535938109258,1.6799206287223887,2.0946378705198168,1.947703411679946
22,1373070,1.0783135601243927,0.5936457610885433,0.5505316663365164,1.0015620462806276,0.9288226387184529,1.8087840539151294,1.6774193711395697,2.0956438804918,1.9434457267235417
23,1354339,1.0836282496479832,0.5958838972380723,0.5498969756756021,1.0085697962292897,0.9307341300459117,1.8111958521879012,1.6714180834398407,2.1083198554895084,1.94561175031603
24,1330565,1.0911154284082327,0.6021961847847936,0.5519087798651183,1.015912600989784,0.9310771111282352,1.8253355872703607,1.6729078700071547,2.1135449548928804,1.9370498298023455
25,1307703,1.1010909969618483,0.6095351059273171,0.5535737805586988,1.0256275186346038,0.9314648121404454,1.8421320374171848,1.6730061752389507,2.122914122914123,1.928009700171656
26,1287267,1.1089385496559765,0.6159277179816333,0.5554209637429515,1.0337064230976967,0.9321584351255361,1.8479844584749878,1.6664444202505935,2.1340270390925977,1.9243870994967505
27,1269498,1.1130383821006413,0.6177211205539818,0.5549863602979751,1.0399238564227162,0.9343108675731957,1.859337603287988,1.67050627650311,2.1330667232654523,1.9164359087417164
28,1253851,1.116560101638871,0.6193065793856536,0.5546558384780579,1.0449335142171374,0.9358506655247656,1.8665637296408826,1.67170914212425,2.1368948247078463,1.9138197948962554
29,1239300,1.1195836359235052,0.6201697961933144,0.5539289574215311,1.0505783599196437,0.9383652334763347,1.874870194032387,1.6746137884427656,2.1393720222719703,1.9108639619471373
30,1221402,1.1256736111452248,0.6240275678706567,0.5543592402737333,1.0568475087788574,0.9388578521474391,1.883146697956789,1.672906497329128,2.1511020898586737,1.9109465377537014
31,1194911,1.1297075681787179,0.6273416562803198,0.555313316429049,1.063817509276304,0.9416751195102288,1.8965291421087098,1.6787788234137793,2.156510276229852,1.9089101790355496
32,1171220,1.1349703727736888,0.6330250256279574,0.5577458591107924,1.0638203875345698,0.9373111519508305,1.9082823457193758,1.6813499202237625,2.162036782703706,1.904927947519924
33,1150577,1.140818910859508,0.6375666631912955,0.5588675442896931,1.0662387715009822,0.9346257862237434,1.917210147383835,1.6805560717251642,2.170880936293137,1.902914577965373
34,1131459,1.1421536264239358,0.6414400278591114,0.5616057358828772,1.0648189076232253,0.9322904406101268,1.916170966563506,1.6776823382008652,2.170981321368254,1.9007787316366196
35,1114155,1.1476859144373988,0.6452176847377761,0.5621901224204402,1.0695683947803576,0.9319347578685456,1.9298221098084152,1.6814897573735785,2.17516584278872,1.89526229731154
