UserCardBIN,Channel,rows,approved_rows,observed_approval_rate,observed_approval_relative,segment_1_rows,segment_2_rows,segment_3_rows,segment_4_rows,segment_1_weight,segment_2_weight,segment_3_weight,segment_4_weight,segment_1_approval_relative,segment_2_approval_relative,segment_3_approval_relative,segment_4_approval_relative,segment_1_weighted_approval_relative,segment_2_weighted_approval_relative,segment_3_weighted_approval_relative,segment_4_weighted_approval_relative,expected_approval_relative,approval_relative_gap,approval_relative_index,fraud_rows,observed_fraud_rate,observed_fraud_relative,expected_fraud_relative,fraud_relative_gap,fraud_relative_index,is_concern,severity_score,bin_y,channel_y,edge_width,edge_opacity
507799,BEST46,2383,1150,0.4825849769198489,0.7799113581843348,19,581,722,1061,0.0079731430969366,0.2438103231221149,0.3029794376835921,0.4452370960973563,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.0091475716728215,0.2429137186036909,0.2540212747333228,0.2982850430357112,0.8043676080455465,-0.0244562498612117,0.9695956803623216,72,0.0302140159462861,2.557189437929989,1.5609464406766604,0.9962429972533284,1.638230096364782,True,1.0206992471145402,79,102,6.0,0.21448791317739974
507799,SKYDOOR29,1964,859,0.4373727087576374,0.7068432703751256,60,451,617,836,0.0305498981670061,0.2296334012219959,0.3141547861507128,0.4256619144602851,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.035049839151571,0.2287889318718872,0.2633908091311379,0.2851707182226483,0.8124002983772447,-0.105557028002119,0.8700677138930557,38,0.0193482688391038,1.6375575099167812,1.5438204553863706,0.0937370545304105,1.0607175881128943,True,0.1992940825325295,79,91,5.081945661700263,0.1860204040802474
505670,BEST46,1522,773,0.5078843626806833,0.8207979983692381,12,492,403,615,0.0078843626806833,0.3232588699080158,0.2647831800262812,0.4040735873850197,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.0090457140727576,0.3220700959477146,0.221997114498775,0.270707693629328,0.8238206181485752,-0.0030226197793371,0.9963309733784884,57,0.0374507227332457,3.169674391731168,1.4934435768683378,1.6762308148628298,2.1223931327742465,True,1.6792534346421668,81,102,4.113496932515337,0.2373114820235373
534311,SKYDOOR29,1339,622,0.4645257654966392,0.7507256504179847,130,491,366,352,0.0970873786407767,0.3666915608663181,0.2733383121732636,0.2628827483196415,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.1113881619638925,0.3653430646003252,0.2291698308722142,0.1761173823636748,0.8820184398001067,-0.131292789382122,0.8511450742323742,45,0.0336071695294996,2.8443719336198483,1.3394269598611783,1.5049449737586698,2.1235737512067443,True,1.6362377631407918,61,91,3.7125328659070993,0.23582068421438468
507799,SKYDOOR19,1037,601,0.579556412729026,0.9366280564324474,76,961,0,0,0.073288331726133,0.926711668273867,0.0,0.0,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.0840835614130521,0.9233037163118228,0.0,0.0,1.007387277724875,-0.0707592212924275,0.9297596635801942,23,0.0221793635486981,1.87716966548142,0.8935199034764096,0.9836497620050104,2.10087056614848,True,1.054408983297438,79,92,3.0508326029798423,0.2156561943896777
515357,SKYDOOR29,863,463,0.5365005793742758,0.867045008730076,60,297,276,230,0.0695249130938586,0.3441483198146002,0.3198146002317497,0.2665121668597914,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.07976579848631,0.3428827255829759,0.2681360591672808,0.1785488986837042,0.8693334819202709,-0.0022884731901949,0.9973675542955736,28,0.0324449594438006,2.746007275274246,1.3884977563133338,1.3575095189609123,1.9776821840643808,True,1.3597979921511072,68,91,2.6695880806310255,0.22624008740931328
414710,DRIVE547,801,462,0.5767790262172284,0.9321394888428708,314,253,161,73,0.3920099875156055,0.3158551810237203,0.2009987515605493,0.0911360799001248,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.4497523014027731,0.3146936338880329,0.168519551958962,0.0610562995612803,0.9940217868110484,-0.0618822979681774,0.9377455315474484,11,0.013732833957553,1.1622903096209392,1.0229518349653786,0.1393384746555606,1.1362121557368108,True,0.201220772623738,12,20,2.5337423312883436,0.1860871775436536
532412,CCCOIN13,779,459,0.5892169448010269,0.9522405579594247,540,239,0,0,0.693196405648267,0.306803594351733,0.0,0.0,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.7953028971029144,0.3056753341310748,0.0,0.0,1.100978231233989,-0.1487376732745642,0.8649040743449965,12,0.0154043645699614,1.3037617523720932,0.6782341961397079,0.6255275562323853,1.922288436343505,True,0.7742652295069495,49,70,2.485539000876424,0.20594722833563617
507799,PURPLE3,769,446,0.5799739921976593,0.9373029116105144,459,210,100,0,0.5968790637191157,0.2730819245773732,0.130039011703511,0.0,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.6847981967707343,0.2720776746984484,0.1090261298606148,0.0,1.0659020013297975,-0.1285990897192832,0.8793518639060198,9,0.0117035110533159,0.9905368060122176,0.8128718077865548,0.1776649982256629,1.2185645959471072,True,0.3062640879449461,79,85,2.4636283961437337,0.18972767271393076
532412,DRIVE712,758,529,0.6978891820580475,1.1278670614967072,664,94,0,0,0.8759894459102903,0.1240105540897097,0.0,0.0,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,1.0050209990810737,0.1235545093180804,0.0,0.0,1.128575508399154,-0.0007084469024467,0.9993722645076256,9,0.0118733509234828,1.0049113506904952,0.6147526403663612,0.3901587103241339,1.63465967399769,True,0.3908671572265806,49,68,2.4395267309377737,0.19265976852763012
