UserCardBIN,Channel,rows,approved_rows,observed_approval_rate,observed_approval_relative,segment_1_rows,segment_2_rows,segment_3_rows,segment_4_rows,segment_1_weight,segment_2_weight,segment_3_weight,segment_4_weight,segment_1_approval_relative,segment_2_approval_relative,segment_3_approval_relative,segment_4_approval_relative,segment_1_weighted_approval_relative,segment_2_weighted_approval_relative,segment_3_weighted_approval_relative,segment_4_weighted_approval_relative,expected_approval_relative,approval_relative_gap,approval_relative_index,fraud_rows,observed_fraud_rate,overall_fraud_rate_45d,observed_fraud_relative,expected_fraud_relative,fraud_relative_gap,fraud_relative_index,cluster_label,cluster_role
403153,SKYDOOR28,25671,15373,0.598846947917884,0.9678037212765348,844,4302,6460,14065,0.0328775661251996,0.1675820965291574,0.2516458260293717,0.5478945113162713,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.0377203681034829,0.166965818830039,0.2109826132031361,0.3670600210977667,0.7827288212344248,0.18507490004211,1.2364483011501128,201,0.0078298469089634,0.0118153217349216,0.6626858823337293,1.6066517367505164,-0.9439658544167872,0.4124639255511739,0,good_cluster
504371,SKYDOOR19,15716,10813,0.68802494273352,1.111925346240359,3832,11884,0,0,0.2438279460422499,0.7561720539577501,0.0,0.0,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.2797433314742971,0.7533912558701116,0.0,0.0,1.0331345873444089,0.0787907588959504,1.076263789695083,55,0.0034996182234665,0.0118153217349216,0.2961932228322639,0.8342937971528046,-0.5381005743205407,0.3550226836674118,0,good_cluster
429534,SKYDOOR18,15496,13205,0.8521553949406299,1.3771785348441072,6569,8927,0,0,0.4239158492514197,0.5760841507485803,0.0,0.0,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.4863578349374254,0.5739656200566089,0.0,0.0,1.0603234549940344,0.3168550798500729,1.2988287002024823,0,0.0,0.0118153217349216,0.0,0.7717516989673896,-0.7717516989673896,0.0,0,good_cluster
403153,SKYDOOR16,13497,11523,0.8537452767281618,1.3797479618332786,13497,0,0,0,1.0,0.0,0.0,0.0,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,1.147298068228093,0.0,0.0,0.0,1.147298068228093,0.2324498936051855,1.2026063671179932,16,0.0011854486182114,0.0118153217349216,0.1003314716947332,0.5716854486688824,-0.4713539769741491,0.1755011815122213,0,good_cluster
429534,SKYDOOR28,11064,8035,0.7262292118582792,1.1736677229129746,1463,3888,3122,2591,0.132230657989877,0.351409978308026,0.282176428054953,0.2341829356471439,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.1517079784723156,0.3501176795639221,0.2365798039042855,0.1568900427435706,0.8952955046840939,0.2783722182288807,1.3109277515328357,3,0.0002711496746203,0.0118153217349216,0.0229489878230716,1.307736431532979,-1.2847874437099072,0.0175486338605478,-1,noise
400012,SKYDOOR28,9411,7123,0.7568802465200297,1.2232032269507875,1387,3156,2368,2500,0.1473807246838805,0.3353522473700988,0.2516204441610881,0.2656465837849325,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.1690896207238726,0.3341190004082583,0.2109613327671243,0.1779690043150669,0.8921389582143221,0.3310642687364654,1.3710904738417808,177,0.0188077781319732,0.0118153217349216,1.5918126102638872,1.307600123377886,0.2842124868860012,1.217354282708236,0,good_cluster
504371,SKYDOOR50,9308,4872,0.5234207133648474,0.845906480694263,241,2161,3238,3668,0.0258917060593038,0.2321658788139235,0.347872797593468,0.3940696175333046,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.0297055043449688,0.2313120963599943,0.2916603587535322,0.2640055688425509,0.8166835283010464,0.0292229523932165,1.0357824682150862,84,0.0090244950580146,0.0118153217349216,0.7637959642979183,1.5426553874035769,-0.7788594231056586,0.4951176850867861,0,good_cluster
403153,DRIVE771,7477,5436,0.7270295573090811,1.1749611707768837,3624,2147,1706,0,0.4846863715393874,0.2871472515714859,0.2281663768891266,0.0,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.556079737763623,0.2860912769108761,0.1912971862109918,0.0,1.033468200885491,0.1414929698913927,1.1369108113536144,34,0.0045472783201818,0.0118153217349216,0.3848628435349211,0.9281911471136012,-0.54332830357868,0.4146374857503547,0,good_cluster
403153,SKYDOOR49,7151,4113,0.5751643126835407,0.9295299309714784,129,639,2358,4025,0.0180394350440497,0.089358131729828,0.3297440917354216,0.5628583414907006,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.0206966089779644,0.0890295201122355,0.2764610534589743,0.3770849870466567,0.7632721695958311,0.1662577613756473,1.2178223810566606,83,0.011606768284156,0.0118153217349216,0.982348897859535,1.686321239414592,-0.7039723415550571,0.5825395985645999,0,good_cluster
400012,SKYDOOR18,7065,5718,0.8093418259023355,1.307987013403686,2705,4360,0,0,0.3828733191790516,0.6171266808209483,0.0,0.0,1.147298068228093,0.9963225325862228,0.8384109386281279,0.669946519843638,0.439269819470204,0.6148572175620568,0.0,0.0,1.0541270370322608,0.2538599763714251,1.24082484126973,61,0.0086341118188251,0.0118153217349216,0.7307555403511382,0.7860052157212745,-0.0552496753701362,0.9297082585903242,0,good_cluster
