UserCardBIN,Segment,mature_rows,approved_rows,fraud_rows,approval_rate,fraud_rate_on_approved
301090,1,9,6,0,0.6666666666666666,0.0
301090,2,24,14,0,0.5833333333333334,0.0
301090,3,4,3,0,0.75,0.0
301090,4,1,1,0,1.0,0.0
301091,1,15,14,0,0.9333333333333333,0.0
301091,2,36,30,0,0.8333333333333334,0.0
301091,3,101,27,0,0.26732673267326734,0.0
301091,4,42,14,0,0.3333333333333333,0.0
301092,1,7,5,0,0.7142857142857143,0.0
301092,2,60,28,0,0.4666666666666667,0.0
301092,3,3,3,0,1.0,0.0
301092,4,7,4,2,0.5714285714285714,0.5
301093,1,57,42,0,0.7368421052631579,0.0
301093,2,289,264,0,0.9134948096885813,0.0
301093,3,28,17,0,0.6071428571428571,0.0
301093,4,17,11,0,0.6470588235294118,0.0
301094,1,41,38,0,0.926829268292683,0.0
301094,2,20,14,0,0.7,0.0
301094,3,23,12,4,0.5217391304347826,0.3333333333333333
301094,4,6,3,0,0.5,0.0
301095,1,12,10,0,0.8333333333333334,0.0
301095,2,17,16,0,0.9411764705882353,0.0
301095,3,1,1,0,1.0,0.0
301095,4,4,2,0,0.5,0.0
301096,1,11,7,0,0.6363636363636364,0.0
301096,2,9,4,0,0.4444444444444444,0.0
301096,4,4,3,1,0.75,0.3333333333333333
301097,1,1,1,0,1.0,0.0
301097,2,12,12,0,1.0,0.0
301097,3,7,4,0,0.5714285714285714,0.0
301097,4,1,1,0,1.0,0.0
301098,1,23,18,0,0.782608695652174,0.0
301098,2,4,3,0,0.75,0.0
301098,3,3,1,0,0.3333333333333333,0.0
301098,4,6,3,0,0.5,0.0
301099,1,3,3,0,1.0,0.0
301099,2,27,19,0,0.7037037037037037,0.0
301099,3,2,2,1,1.0,0.5
301100,1,37,17,0,0.4594594594594595,0.0
301100,2,30,18,0,0.6,0.0
301100,3,14,12,0,0.8571428571428571,0.0
301100,4,14,9,0,0.6428571428571429,0.0
301101,1,33,1,0,0.030303030303030304,0.0
301101,2,5,4,1,0.8,0.25
301101,4,2,2,0,1.0,0.0
301102,1,36,33,0,0.9166666666666666,0.0
301102,2,76,70,6,0.9210526315789473,0.08571428571428572
301102,3,9,6,0,0.6666666666666666,0.0
301102,4,7,5,1,0.7142857142857143,0.2
301103,1,8,4,0,0.5,0.0
301103,2,5,5,0,1.0,0.0
301103,4,3,0,0,0.0,
301104,2,3,2,0,0.6666666666666666,0.0
301104,4,6,1,0,0.16666666666666666,0.0
301105,1,2,1,0,0.5,0.0
301105,2,4,2,0,0.5,0.0
301105,3,3,3,0,1.0,0.0
301105,4,7,5,0,0.7142857142857143,0.0
301106,3,1,1,0,1.0,0.0
301107,2,4,3,3,0.75,1.0
301108,1,58,57,0,0.9827586206896551,0.0
301108,2,41,7,0,0.17073170731707318,0.0
301108,3,1,1,0,1.0,0.0
301108,4,5,3,0,0.6,0.0
301112,1,5,4,0,0.8,0.0
301112,2,113,88,0,0.7787610619469026,0.0
301112,3,10,10,0,1.0,0.0
301116,4,3,2,0,0.6666666666666666,0.0
301122,2,3,2,0,0.6666666666666666,0.0
301122,4,1,0,0,0.0,
301123,1,10,8,0,0.8,0.0
301123,2,2,0,0,0.0,
301124,1,34,11,0,0.3235294117647059,0.0
301124,2,19,11,0,0.5789473684210527,0.0
301124,3,14,11,0,0.7857142857142857,0.0
301124,4,8,6,0,0.75,0.0
301125,1,39,34,0,0.8717948717948718,0.0
301125,2,13,11,0,0.8461538461538461,0.0
301125,4,5,2,0,0.4,0.0
301126,2,1,1,0,1.0,0.0
