entity_value,rows,fraud_rows,share_pct,observed_rate_pct,rate_index
SKYDOOR28,156436,1886,8.83307190295343,1.2056048479889538,1.2852329690690933
SKYDOOR18,133473,871,7.536478854630029,0.6525664366576012,0.69566732441339
BEST45,69231,862,3.9090899851272654,1.2451069607545753,1.3273441282593947
SKYDOOR16,63600,232,3.5911386958745948,0.3647798742138365,0.3888729558234118
SKYDOOR49,59408,797,3.354439742838332,1.3415701589011582,1.4301785542876557
SKYDOOR29,55740,814,3.1473281589316024,1.460351632579835,1.556805339457855
SKYDOOR19,45254,347,2.5552419896715235,0.7667830468024925,0.8174277446857467
BEST46,38798,727,2.19070753337331,1.8738079282437239,1.9975697104230237
DRIVE771,31486,262,1.777839512237539,0.8321158610175952,0.8870756786098521
ORANGE31,30730,302,1.7351523918903506,0.9827530100878621,1.0476621515944537
DRIVE779,29607,434,1.6717428202635083,1.4658695578748269,1.5626877142026263
BATTLE7,29031,173,1.6392192999989836,0.5959147118597362,0.6352738508915314
BATTLE5,24399,178,1.3776759912050982,0.7295380958235993,0.7777228289255919
SILVER,21685,91,1.2244314877364872,0.4196449158404427,0.4473617388317799
SKYDOOR51,21255,280,1.200151776427901,1.317337097153611,1.4043449406028838
ATM50,21185,221,1.196199265284643,1.043190936983715,1.1120918993333657
BULL3,21000,216,1.1857533429774605,1.0285714285714285,1.0965067976025658
SKYDOOR43,20608,265,1.1636192805752146,1.2859083850931678,1.3708404163113301
PEACH6,19691,118,1.1118413845985322,0.5992585445127215,0.6388385379246295
DRIVE537,19637,274,1.1087923045737331,1.39532515149972,1.4874839714440156
BATTLE2,19609,308,1.1072113001164297,1.5707073282676323,1.6744498385315787
DRIVE711,19495,28,1.100774353397409,0.1436265709156194,0.15311285823295356
DRIVE794,17941,0,1.0130286060170772,0.0,0.0
PEACH9,15963,80,0.9013419339975811,0.5011589300256845,0.5342596130787142
SKYDOOR50,14996,171,0.8467408157757141,1.1403040810882903,1.2156191991292784
DRIVE547,14759,164,0.83335874233354,1.1111863947421912,1.1845783398150147
ORANGE23,14048,98,0.7932125220070174,0.6976082004555808,0.7436840190333145
SILVER9,13626,12,0.7693845262576609,0.08806693086745927,0.09388359977515977
SKYDOOR47,13557,262,0.7654884795593062,1.932580954488456,2.0602245936940182
PEACH,13503,128,0.7624393995345071,0.947937495371399,1.0105471321721708
SKYDOOR45,12911,224,0.7290124481515236,1.7349546897993957,1.849545455039225
DRIVE635,12793,64,0.7223496436528882,0.5002735871179551,0.5333157947987501
CCCOIN13,12565,128,0.7094757502148472,1.0187027457222444,1.0859863052702603
DRIVE709,12215,58,0.6897131944985562,0.4748260335652886,0.5061874742195863
BATTLE,11677,88,0.6593353231403717,0.7536182238588679,0.8033934078901314
DRIVE656,11662,29,0.6584883564668165,0.24867089693020064,0.2650951808262839
DRIVE725,11425,74,0.6451062830246422,0.6477024070021882,0.6904820339875142
DRIVE791,11422,53,0.6449368896899311,0.4640168096655577,0.49466431972235836
BATTLE12,11400,361,0.64369467190205,3.166666666666667,3.3758195389153074
PEACH8,11256,43,0.6355637918359188,0.3820184790334044,0.40725014076242344
DRIVE712,10997,60,0.6209395006058634,0.5456033463671911,0.581639506472823
DRIVE787,10927,40,0.6169869894626052,0.36606570879472866,0.3902437175608819
DRIVE751,10888,45,0.6147848761113615,0.41329904481998525,0.44059673397421245
PEACH5,10680,129,0.6030402715713942,1.2078651685393258,1.2876425798937747
DRIVE772,10339,88,0.5837858958592363,0.8511461456620563,0.9073628807363443
DRIVE538,10235,142,0.5779135935892528,1.3873961895456766,1.479031315226823
DRIVE741,10206,78,0.5762761246870458,0.7642563198118754,0.8147341317348741
DRIVE749,10203,34,0.5761067313523348,0.3332353229442321,0.3552449413427024
DRIVE738,10034,56,0.5665642401636114,0.5581024516643412,0.5949641561194796
QUEEN6,9635,109,0.5440349266470397,1.1312921639854696,1.2060120604433457
PEACH7,9473,109,0.5348876865726421,1.150638657236356,1.226636356209399
DRIVE727,9371,56,0.5291283131924659,0.5975883043431864,0.6370579812723145
BULL4,9314,63,0.5259098398329556,0.6764011165986686,0.7210762438603947
DRIVE454,8804,31,0.4971129729320744,0.35211267605633806,0.3753691110728659
DRIVE695,8794,127,0.49654832848303754,1.444166477143507,1.539551182417117
SKYDOOR52,8264,133,0.4666221726840825,1.6093901258470475,1.7156875681805772
DRIVE205,8178,110,0.4617662304223653,1.3450721447786746,1.4339118402930218
BEST35,8095,47,0.45707968149535916,0.5806053119209388,0.618953291488649
BEST48,7911,24,0.4466902236330805,0.30337504740235116,0.32341244609690983
SILVER1,7663,59,0.43268704129696567,0.7699334464309017,0.820786222776581
QUEEN8,7325,14,0.41360205891951896,0.19112627986348124,0.20374984104105323
BEST19,7321,72,0.41337620113990425,0.983472203250922,1.048428846225647
MAYDAY25,7276,45,0.41083530111923827,0.6184716877405168,0.6593206761285357
BATTLE6,7234,97,0.4084637944332833,1.3408902405308267,1.4294537284815192
DRIVE796,7135,51,0.40287381438781816,0.7147862648913805,0.7619966650006152
DRIVE784,6987,42,0.3945170765420722,0.6011163589523401,0.6408190578040853
DRIVE795,6977,0,0.3939524320930353,0.0,0.0
DRIVE788,6944,80,0.3920891054112136,1.1520737327188941,1.228166215952695
BATTLE11,6772,117,0.3823772208877792,1.7277023036030716,1.8418140612417586
DRIVE722,6772,128,0.3823772208877792,1.8901358535144714,2.0149760669995307
PEACH1,6715,162,0.37915874752826895,2.4125093075204767,2.5718513867818933
ORANGE14,6634,77,0.37458512749107015,1.1606873681037082,1.2373487671000047
BATTLE14,6632,14,0.3744721986012628,0.21109770808202655,0.22504034765164577
DRIVE721,6620,77,0.3737946252624185,1.163141993957704,1.2399655167585244
BULL,6537,10,0.36910807633541237,0.15297537096527458,0.16307913040338673
SKYDOOR46,6482,130,0.3660025318657095,2.005553841406973,2.1380172139478875
DRIVE629,6479,57,0.3658331385309984,0.8797653958944283,0.9378723830911488
DRIVE632,6241,68,0.35239460064392053,1.0895689793302357,1.1615331313954793
QUEEN5,6231,18,0.3518299561948836,0.2888781896966779,0.3079580959403772
PURPLE,6139,59,0.3466352272637443,0.9610685779442907,1.0245455001037533
QUEEN10,6060,10,0.3421745361163529,0.16501650165016502,0.1759155570044454
SKYDOOR17,6017,12,0.33974656498549427,0.19943493435266743,0.21260726783053463
BEST37,5881,51,0.3320674004785926,0.8671994558748511,0.9244764844039091
SKYDOOR48,5764,95,0.32546106042486106,1.6481609993060375,1.757019190969105
DRIVE597,5677,57,0.32054865371824015,1.0040514356174035,1.0703673013999564
DRIVE763,5423,35,0.30620668471270324,0.6453992255209293,0.6880267313413768
DRIVE759,5338,41,0.30140720689588973,0.7680779318096665,0.8188081546145467
SILVER10,5303,53,0.2994309513242606,0.9994342824816143,1.0654451932620739
DRIVE658,5235,26,0.2955913690708098,0.49665711556829034,0.529460461540027
DRIVE643,5202,42,0.2937280423889881,0.8073817762399077,0.8607079501878401
BATTLE3,5195,147,0.2933327912746623,2.829643888354187,3.0165369873089523
DRIVE753,4974,38,0.28085414895094707,0.7639726578206675,0.814431734358337
ATM35,4884,15,0.2757723489096151,0.3071253071253071,0.3274104040070452
SILVER8,4848,12,0.27373962889308234,0.24752475247524752,0.2638733355066681
DRIVE204,4834,20,0.27294912666443066,0.4137360364087712,0.44106258810382254
DRIVE355,4751,22,0.2682625777374245,0.4630604083350874,0.4936447497333753
