TransactionDay,rows,fraud_count,fraud_rate_pct,fraud_rate_7d,fraud_count_7d
2026-03-01,20892,326,1.5604058969940648,1.5604058969940648,326.0
2026-03-02,17092,286,1.6732974490989938,1.6168516730465292,306.0
2026-03-03,18346,233,1.2700316145208765,1.5012449868713116,281.6666666666667
2026-03-04,20321,268,1.3188327346095172,1.455641923805863,278.25
2026-03-05,20244,274,1.3534874530725154,1.4352110296591936,277.4
2026-03-06,22417,275,1.2267475576571352,1.4004671176588506,277.0
2026-03-07,24114,241,0.9994194244007629,1.3431745900505523,271.85714285714283
2026-03-08,17782,258,1.4509054099651333,1.3275316633321335,262.14285714285717
2026-03-09,16180,210,1.2978986402966626,1.2739032620746575,251.28571428571428
2026-03-10,17762,169,0.9514694291183425,1.2283943784457243,242.14285714285714
2026-03-11,19322,218,1.1282475934168306,1.2011679297039117,235.0
2026-03-12,22080,232,1.0507246376811594,1.157916098933718,229.0
2026-03-13,23623,286,1.2106845023917367,1.1556213767529468,230.57142857142858
2026-03-14,23281,322,1.3831021004252395,1.2104331876135865,242.14285714285714
2026-03-15,19981,279,1.3963265101846754,1.2026362019306638,245.14285714285714
2026-03-16,16451,223,1.3555406966141876,1.210870781404596,247.0
2026-03-17,18219,230,1.2624183544651189,1.2552920564541357,255.71428571428572
2026-03-18,18878,227,1.2024578874880814,1.2658935270357428,257.0
2026-03-19,22602,233,1.0308822228121406,1.2630588963401685,257.14285714285717
2026-03-20,22884,237,1.0356581017304667,1.23805512481713,250.14285714285714
2026-03-21,22783,281,1.233375762630031,1.2166656479892433,244.28571428571428
2026-03-22,18990,200,1.05318588730911,1.1676455590070194,233.0
2026-03-23,15648,223,1.4251022494887526,1.1775829237033857,233.0
2026-03-24,16138,241,1.4933696864543313,1.2105759711304163,234.57142857142858
2026-03-25,17538,200,1.1403808872163304,1.2017078282344518,230.71428571428572
2026-03-26,20013,252,1.2591815320041972,1.2343220152618883,233.42857142857142
2026-03-27,22740,247,1.0861917326297275,1.2415411053903542,234.85714285714286
2026-03-28,21976,210,0.9555879140880961,1.2018571270272207,224.71428571428572
2026-03-29,17692,166,0.9382771874293465,1.1854415984729687,219.85714285714286
2026-03-30,16026,145,0.9047797329339823,1.1111098103937158,208.71428571428572
2026-03-31,17504,171,0.9769195612431444,1.037331221077832,198.71428571428572
2026-04-01,18757,215,1.1462387375379859,1.0381680568380685,200.85714285714286
2026-04-02,19502,220,1.128089426725464,1.019440613226821,196.28571428571428
2026-04-03,21275,264,1.2408930669800236,1.0415408038482918,198.71428571428572
2026-04-04,22636,293,1.2943983035872062,1.0899422880624505,210.57142857142858
2026-04-05,18091,241,1.332154109778343,1.1462104198265928,221.28571428571428
2026-04-06,16597,201,1.211062240163885,1.189965063716579,229.28571428571428
2026-04-07,16844,160,0.9498931370220851,1.1861041459707131,227.71428571428572
2026-04-08,17586,172,0.9780507221653588,1.1620772866317666,221.57142857142858
