entity_value,segment_1_rows,segment_2_rows,segment_3_rows,segment_4_rows,rows,segment_count,segment_1_share_pct,segment_2_share_pct,segment_3_share_pct,segment_4_share_pct,dominant_segment,dominant_share_pct
403153,61575.0,48324.0,20919.0,28648.0,159466.0,4,38.61324671089762,30.303638393137096,13.118156848481807,17.964958047483474,1,38.61324671089762
504371,33227.0,24955.0,9502.0,10133.0,77817.0,4,42.698896128095406,32.068828148091036,12.210699461557244,13.021576262256318,1,42.698896128095406
429534,23951.0,17863.0,6076.0,4962.0,52852.0,4,45.31711193521532,33.79815333383789,11.496253689548173,9.388481041398622,1,45.31711193521532
434246,21119.0,12115.0,4821.0,3701.0,41756.0,4,50.57716256346393,29.013794424753332,11.54564613468723,8.863396877095507,1,50.57716256346393
507799,16069.0,10462.0,4345.0,3796.0,34672.0,4,46.3457544993078,30.174203968620212,12.531725888324875,10.948315643747115,1,46.3457544993078
423213,12177.0,9510.0,4790.0,5859.0,32336.0,4,37.65771895101435,29.409945571499257,14.81321128154379,18.1191241959426,1,37.65771895101435
414710,17157.0,8182.0,4056.0,2776.0,32171.0,4,53.33063939572907,25.432843243915325,12.607627987939448,8.628889372416152,1,53.33063939572907
400012,14657.0,9509.0,3860.0,4082.0,32108.0,4,45.649059424442505,29.61567210664009,12.02192599975084,12.713342469166564,1,45.649059424442505
400885,12146.0,9824.0,4121.0,5002.0,31093.0,4,39.06345479689962,31.595535972726978,13.253787026018719,16.087222204354678,1,39.06345479689962
426674,16450.0,8142.0,3555.0,2671.0,30818.0,4,53.37789603478487,26.41962489454215,11.53546628593679,8.667012784736192,1,53.37789603478487
481572,16009.0,7334.0,3096.0,2463.0,28902.0,4,55.39063040620026,25.375406546259775,10.712061449034668,8.521901598505293,1,55.39063040620026
483306,14555.0,7757.0,2467.0,2121.0,26900.0,4,54.10780669144981,28.836431226765804,9.17100371747212,7.884758364312268,1,54.10780669144981
473692,13330.0,7294.0,2490.0,2573.0,25687.0,4,51.89395414022657,28.395686534044458,9.693619340522442,10.016739985206524,1,51.89395414022657
440383,7811.0,8164.0,3430.0,4971.0,24376.0,4,32.04381358713489,33.49195930423367,14.071217591073188,20.39300951755825,2,33.49195930423367
505670,10055.0,6985.0,2452.0,2453.0,21945.0,4,45.81909318751424,31.82957393483709,11.173388015493279,11.177944862155389,1,45.81909318751424
447217,6229.0,5884.0,3177.0,4306.0,19596.0,4,31.787099408042458,30.02653602776077,16.21249234537661,21.97387221882017,1,31.787099408042458
434248,9552.0,5356.0,1829.0,1628.0,18365.0,4,52.01197930846719,29.16417097740267,9.959161448407297,8.864688265722842,1,52.01197930846719
486198,8564.0,4766.0,2217.0,2653.0,18200.0,4,47.05494505494506,26.186813186813186,12.18131868131868,14.576923076923077,1,47.05494505494506
498493,6462.0,5849.0,2554.0,3302.0,18167.0,4,35.5699895414763,32.19573952771509,14.058457642979027,18.17581328782958,1,35.5699895414763
532537,8022.0,5002.0,1987.0,1977.0,16988.0,4,47.22156816576407,29.444313633152813,11.696491641158465,11.637626559924652,1,47.22156816576407
434759,6442.0,5625.0,2420.0,2277.0,16764.0,4,38.42758291577189,33.55404438081603,14.435695538057743,13.582677165354331,1,38.42758291577189
440056,7658.0,4988.0,1963.0,1647.0,16256.0,4,47.10875984251969,30.684055118110237,12.075541338582676,10.131643700787402,1,47.10875984251969
532412,7809.0,4161.0,1502.0,967.0,14439.0,4,54.08269270725119,28.817785165177646,10.402382436456818,6.697139691114343,1,54.08269270725119
414708,7550.0,3741.0,1539.0,960.0,13790.0,4,54.74981870920958,27.128353879622914,11.160261058738216,6.961566352429297,1,54.74981870920958
414730,6893.0,3985.0,1492.0,1092.0,13462.0,4,51.203387312435,29.60184222255237,11.083048581191502,8.111721883821126,1,51.203387312435
508719,6163.0,3690.0,1375.0,1435.0,12663.0,4,48.66935165442628,29.14001421464108,10.85840638079444,11.332227750138198,1,48.66935165442628
482811,4729.0,3334.0,1776.0,2446.0,12285.0,4,38.494098494098495,27.13878713878714,14.456654456654459,19.91045991045991,1,38.494098494098495
442746,6298.0,3362.0,1224.0,1304.0,12188.0,4,51.673777486051854,27.584509353462423,10.042664916311125,10.699048244174598,1,51.673777486051854
444786,5041.0,3890.0,1401.0,1422.0,11754.0,4,42.88752765016165,33.09511655606602,11.919346605410924,12.098009188361408,1,42.88752765016165
420757,5426.0,3278.0,1471.0,1243.0,11418.0,4,47.521457348046944,28.709055876685934,12.883166929409704,10.886319845857418,1,47.521457348046944
529683,4783.0,3215.0,1393.0,1524.0,10915.0,4,43.82043060009161,29.45487860742098,12.762253779202931,13.96243701328447,1,43.82043060009161
461036,5321.0,2797.0,961.0,838.0,9917.0,4,53.6553393163255,28.204093980034283,9.690430573762226,8.450136129877988,1,53.6553393163255
434247,5088.0,2781.0,1153.0,864.0,9886.0,4,51.46672061501113,28.130689864454784,11.66295771798503,8.73963180254906,1,51.46672061501113
517509,5436.0,2566.0,1033.0,688.0,9723.0,4,55.90867016352977,26.391031574616886,10.624292913709759,7.0760053481435765,1,55.90867016352977
448223,4298.0,2411.0,1443.0,1224.0,9376.0,4,45.84044368600683,25.71459044368601,15.390358361774744,13.054607508532424,1,45.84044368600683
502224,3353.0,3467.0,1164.0,905.0,8889.0,4,37.72077849026887,39.003262459219265,13.094836314546068,10.1811227359658,2,39.003262459219265
473693,5242.0,1842.0,860.0,864.0,8808.0,4,59.514078110808356,20.91280653950954,9.763851044504996,9.809264305177113,1,59.514078110808356
435536,3338.0,2976.0,1020.0,1149.0,8483.0,4,39.34928680891194,35.08192856300837,12.024048096192384,13.544736531887306,1,39.34928680891194
483302,4310.0,1932.0,891.0,847.0,7980.0,4,54.01002506265664,24.210526315789473,11.165413533834586,10.614035087719298,1,54.01002506265664
457421,3567.0,2555.0,840.0,784.0,7746.0,4,46.049573973663826,32.98476633100955,10.844306738962045,10.121352956364575,1,46.049573973663826
414699,4036.0,1397.0,911.0,659.0,7003.0,4,57.63244323861202,19.948593459945737,13.008710552620306,9.410252748821932,1,57.63244323861202
534311,3260.0,2026.0,855.0,757.0,6898.0,4,47.260075384169326,29.3708321252537,12.39489707161496,10.974195418962019,1,47.260075384169326
438847,3872.0,1925.0,588.0,436.0,6821.0,4,56.76587010702243,28.221668377070813,8.620436886087084,6.392024629819675,1,56.76587010702243
411763,3517.0,1522.0,748.0,831.0,6618.0,4,53.14294348745845,22.997884557268055,11.302508310667877,12.55666364460562,1,53.14294348745845
436608,2489.0,2158.0,871.0,928.0,6446.0,4,38.61309339125039,33.47812596959355,13.512255662426313,14.396524976729754,1,38.61309339125039
486786,3106.0,1576.0,894.0,752.0,6328.0,4,49.0834386852086,24.905183312262956,14.127686472819217,11.883691529709228,1,49.0834386852086
515357,2508.0,2112.0,932.0,661.0,6213.0,4,40.36697247706422,33.99323998068566,15.000804764204087,10.638982778046033,1,40.36697247706422
427072,3621.0,1497.0,563.0,378.0,6059.0,4,59.76233701931012,24.707047367552402,9.291962370028058,6.2386532431094235,1,59.76233701931012
421773,1442.0,1995.0,1138.0,1298.0,5873.0,4,24.553039332538738,33.96901072705602,19.37680912651115,22.10114081389409,2,33.96901072705602
534341,2440.0,1943.0,632.0,818.0,5833.0,4,41.830961769243956,33.3104748842791,10.834904851705812,14.02365849477113,1,41.830961769243956
410029,2824.0,1687.0,632.0,555.0,5698.0,4,49.56124956124956,29.606879606879605,11.091611091611092,9.740259740259742,1,49.56124956124956
542427,2882.0,1655.0,681.0,432.0,5650.0,4,51.008849557522126,29.292035398230087,12.053097345132743,7.646017699115045,1,51.008849557522126
521254,2809.0,1172.0,714.0,781.0,5476.0,4,51.296566837107385,21.402483564645728,13.038714390065742,14.262235208181155,1,51.296566837107385
470783,2325.0,1828.0,612.0,590.0,5355.0,4,43.417366946778714,34.136321195144724,11.428571428571429,11.017740429505135,1,43.417366946778714
511261,1692.0,1719.0,891.0,758.0,5060.0,4,33.43873517786562,33.972332015810274,17.608695652173914,14.980237154150197,2,33.972332015810274
413027,2272.0,1364.0,643.0,702.0,4981.0,4,45.613330656494675,27.38405942581811,12.909054406745636,14.093555510941577,1,45.613330656494675
406085,1901.0,1723.0,596.0,475.0,4695.0,4,40.48988285410011,36.698615548455805,12.694355697550586,10.117145899893504,1,40.48988285410011
507540,1640.0,1210.0,731.0,1018.0,4599.0,4,35.65992607088497,26.310067405957817,15.894759730376167,22.13524679278104,1,35.65992607088497
487907,1888.0,1243.0,563.0,804.0,4498.0,4,41.974210760337925,27.634504224099597,12.516674077367718,17.874610938194753,1,41.974210760337925
